hs_code_national,landgruppe,landgruppenavn,avgiftstype,avgiftstypebeskrivelse,avgiftsgruppe,avgiftsgruppebeskrivelse,duty_value,rate_type,valid_from,valid_to,enhet,enhet_beskrivelse,oresats_flag
02022008,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2008-01-01,"",P,Prosent av verdien,FALSE
02022008,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02023001,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2011-09-01,"",P,Prosent av verdien,FALSE
02023001,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2005-01-01,"",P,Prosent av verdien,FALSE
02023001,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02023009,ALLE,Avgift fra alle land,FA,Forskningsavgift,200,"Forskningsavgift, lav sats",0.25,P,2011-09-01,"",P,Prosent av verdien,FALSE
02023009,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2005-01-01,"",P,Prosent av verdien,FALSE
02023009,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031101,ALLE,Avgift fra alle land,FA,Forskningsavgift,100,Forskningsavgift høy sats,0.35,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031101,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031101,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031109,ALLE,Avgift fra alle land,FA,Forskningsavgift,100,Forskningsavgift høy sats,0.35,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031109,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031109,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
02031203,ALLE,Avgift fra alle land,FA,Forskningsavgift,100,Forskningsavgift høy sats,0.35,P,2020-01-01,"",P,Prosent av verdien,FALSE
02031203,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2020-01-01,"",P,Prosent av verdien,FALSE
02031203,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2020-01-01,"",P,Prosent av verdien,FALSE
02031209,ALLE,Avgift fra alle land,FA,Forskningsavgift,100,Forskningsavgift høy sats,0.35,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031209,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2010-01-01,"",P,Prosent av verdien,FALSE
02031209,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
